fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2021-08,San Juan,Automotor,Impuesto provincial,4052037416,26.7,Carga de usuario
2021-08,San Juan,Sellos,Impuesto provincial,2582969545,14.3,Carga de usuario
2021-08,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-08,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-08,San Juan,Total,Total recursos provinciales,38442384006,18.4,Carga de usuario
2021-09,San Juan,Ingresos Brutos,Impuesto provincial,26993468734,28.2,Carga de usuario
2021-09,San Juan,Inmobiliario,Impuesto provincial,1138099002,3.1,Carga de usuario
2021-09,San Juan,Automotor,Impuesto provincial,3198015379,19.0,Carga de usuario
2021-09,San Juan,Sellos,Impuesto provincial,2618307634,23.2,Carga de usuario
2021-09,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-09,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-09,San Juan,Total,Total recursos provinciales,39122089089,26.0,Carga de usuario
2021-10,San Juan,Ingresos Brutos,Impuesto provincial,26285585149,20.3,Carga de usuario
2021-10,San Juan,Inmobiliario,Impuesto provincial,887793942.90,-31.4,Carga de usuario
2021-10,San Juan,Automotor,Impuesto provincial,3012923550,5.1,Carga de usuario
2021-10,San Juan,Sellos,Impuesto provincial,3025592096,37.3,Carga de usuario
2021-10,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2021-10,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2021-10,San Juan,Total,Total recursos provinciales,38486158904,18.8,Carga de usuario
2021-11,San Juan,Ingresos Brutos,Impuesto provincial,27760092094,23.7,Carga de usuario
2021-11,San Juan,Inmobiliario,Impuesto provincial,954587328.80,-21.9,Carga de usuario
2021-11,San Juan,Automotor,Impuesto provincial,3093521716,19.7,Carga de usuario
2021-11,San Juan,Sellos,Impuesto provincial,2540992782,14.4,Carga de usuario
2021-11,San Juan,DJ,Otros recursos provinciales,975727.03,,Carga de usuario
2021-11,San Juan,Otros impuestos,Otros recursos provinciales,4767821638,,Carga de usuario
2021-11,San Juan,Total,Total recursos provinciales,39117991286,18.7,Carga de usuario
2021-12,San Juan,Ingresos Brutos,Impuesto provincial,25837564150,5.4,Carga de usuario
2021-12,San Juan,Inmobiliario,Impuesto provincial,1014090450,-17.0,Carga de usuario
2021-12,San Juan,Automotor,Impuesto provincial,3152656114,22.0,Carga de usuario
2021-12,San Juan,Sellos,Impuesto provincial,2482554857,-1.6,Carga de usuario
2021-12,San Juan,DJ,Otros recursos provinciales,10935185.22,,Carga de usuario
2021-12,San Juan,Otros impuestos,Otros recursos provinciales,4465148956,,Carga de usuario
2021-12,San Juan,Total,Total recursos provinciales,36962949712,4.4,Carga de usuario
2022-01,San Juan,Ingresos Brutos,Impuesto provincial,28823642338,9.9,Carga de usuario
2022-01,San Juan,Inmobiliario,Impuesto provincial,1384648207,75.8,Carga de usuario
2022-01,San Juan,Automotor,Impuesto provincial,2032080598,28.2,Carga de usuario
2022-01,San Juan,Sellos,Impuesto provincial,2348122685,-10.5,Carga de usuario
2022-01,San Juan,DJ,Otros recursos provinciales,997268.84,,Carga de usuario
2022-01,San Juan,Otros impuestos,Otros recursos provinciales,4738944050,,Carga de usuario
2022-01,San Juan,Total,Total recursos provinciales,39328435146,8.8,Carga de usuario
2022-02,San Juan,Ingresos Brutos,Impuesto provincial,23522534796,4.1,Carga de usuario
2022-02,San Juan,Inmobiliario,Impuesto provincial,6311587651,-9.5,Carga de usuario
2022-02,San Juan,Automotor,Impuesto provincial,1702912044,-18.8,Carga de usuario
2022-02,San Juan,Sellos,Impuesto provincial,2386189662,-0.7,Carga de usuario
2022-02,San Juan,DJ,Otros recursos provinciales,1772472.26,,Carga de usuario
